time,holiday_count,holiday_newyear,holiday_memorial,holiday_july4,holiday_juneteenth,holiday_labor,holiday_thanksgiving,holiday_christmas,weeks_to_christmas,brand_interest_index,Channel1_reach,Channel1_frequency,Channel4_reach,Channel4_frequency
2021-01-25,0,0,0,0,0,0,0,0,47,3,6104143,1.726302,25346937,2.092009
2021-02-01,0,0,0,0,0,0,0,0,46,34,16295867,1.893584,15634640,1.764813
2021-02-08,0,0,0,0,0,0,0,0,45,38,12863131,1.799309,11871530,1.689543
2021-02-15,1,0,0,0,0,0,0,0,44,22,6257676,1.704639,19735874,1.887255
2021-02-22,0,0,0,0,0,0,0,0,43,44,10344969,1.732819,25846435,2.176684
2021-03-01,0,0,0,0,0,0,0,0,42,25,10690502,1.786595,15536999,1.730493
2021-03-08,0,0,0,0,0,0,0,0,41,25,2875716,1.646426,19554564,1.923605
2021-03-15,0,0,0,0,0,0,0,0,40,44,10294764,1.734216,21047544,1.943959
2021-03-22,0,0,0,0,0,0,0,0,39,52,14687658,1.871577,26662792,2.122134
2021-03-29,0,0,0,0,0,0,0,0,38,46,10200565,1.800886,17622546,1.812171
2021-04-05,0,0,0,0,0,0,0,0,37,37,8102098,1.813052,18855172,1.832355
2021-04-12,0,0,0,0,0,0,0,0,36,47,12481332,1.803617,22426441,1.921185
2021-04-19,0,0,0,0,0,0,0,0,35,33,5930531,1.734593,15157121,1.771498
2021-04-26,0,0,0,0,0,0,0,0,34,45,12319826,1.819282,13424138,1.688275
2021-05-03,0,0,0,0,0,0,0,0,33,30,3010226,1.651298,21961499,1.963963
2021-05-10,0,0,0,0,0,0,0,0,32,69,14637694,1.841171,19582974,1.924768
2021-05-17,0,0,0,0,0,0,0,0,31,72,18124110,1.911833,15223487,1.763434
2021-05-24,0,0,0,0,0,0,0,0,30,33,4596901,1.689041,8002485,1.561662
2021-05-31,1,0,1,0,0,0,0,0,29,45,11866871,1.769402,19489876,1.895201
2021-06-07,0,0,0,0,0,0,0,0,28,70,14698683,1.869861,19173459,1.862605
2021-06-14,2,0,0,0,1,0,0,0,27,52,9811693,1.754018,27015387,2.234098
2021-06-21,0,0,0,0,0,0,0,0,26,45,12829443,1.852143,19543958,1.892307
2021-06-28,1,0,0,1,0,0,0,0,25,47,8275444,1.769106,24023137,2.071614
2021-07-05,1,0,0,1,0,0,0,0,24,30,7691492,1.747661,24019048,2.053904
2021-07-12,0,0,0,0,0,0,0,0,23,22,6423510,1.692392,14874353,1.759376
2021-07-19,0,0,0,0,0,0,0,0,22,26,8898735,1.74168,16196959,1.810543
2021-07-26,0,0,0,0,0,0,0,0,21,74,19135548,1.983524,22957457,2.027168
2021-08-02,0,0,0,0,0,0,0,0,20,44,13431272,1.829041,21010250,1.915772
2021-08-09,0,0,0,0,0,0,0,0,19,51,8228670,1.72677,20403562,1.851979
2021-08-16,0,0,0,0,0,0,0,0,18,31,8175211,1.753113,16265915,1.725165
2021-08-23,0,0,0,0,0,0,0,0,17,40,15546415,1.906243,21768379,1.974982
2021-08-30,0,0,0,0,0,0,0,0,16,85,20679880,1.996433,30484253,2.418079
2021-09-06,1,0,0,0,0,1,0,0,15,43,13294134,1.816699,16023838,1.788249
2021-09-13,0,0,0,0,0,0,0,0,14,66,15904507,1.865693,26808097,2.228686
2021-09-20,0,0,0,0,0,0,0,0,13,38,10771154,1.795431,20707128,1.95881
2021-09-27,0,0,0,0,0,0,0,0,12,46,11964127,1.784891,26768123,2.19743
2021-10-04,0,0,0,0,0,0,0,0,11,47,12539613,1.785749,24763722,2.084094
2021-10-11,1,0,0,0,0,0,0,0,10,70,22049207,2.089655,31096657,2.405597
2021-10-18,0,0,0,0,0,0,0,0,9,33,10396940,1.777566,14217249,1.709878
2021-10-25,0,0,0,0,0,0,0,0,8,28,12550209,1.831331,25900178,2.16295
2021-11-01,0,0,0,0,0,0,0,0,7,22,7293517,1.721034,13160321,1.697098
2021-11-08,1,0,0,0,0,0,0,0,6,20,7604298,1.735853,23327423,2.077852
2021-11-15,0,0,0,0,0,0,0,0,5,58,18294353,1.981977,19105930,1.857616
2021-11-22,1,0,0,0,0,0,1,0,4,93,24704084,2.088977,31402292,2.490643
