segments.week,campaign.name,metrics.impressions,metrics.clicks,metrics.ctr,metrics.cost_micros,metrics.conversions,metrics.search_impression_share
2021-01-04,BR | Brand | Exact,306160,12859,0.042001,23788665690,911.2019,0.9046
2021-01-11,BR | Brand | Exact,236914,9950,0.041998,18408251576,906.2457,0.5292
2021-01-18,BR | Brand | Exact,190555,8003,0.041998,14806144593,701.1351,0.8102
2021-01-25,BR | Brand | Exact,353473,14846,0.042,27464861061,978.666,0.6309
2021-02-01,BR | Brand | Exact,233681,9815,0.042002,18157033361,953.9016,0.0999
2021-02-08,BR | Brand | Exact,237670,9982,0.041999,18466982087,854.1089,0.5359
2021-02-15,BR | Brand | Exact,279400,11735,0.042001,21709407718,863.265,0.7449
2021-02-22,BR | Brand | Exact,261799,10996,0.042002,20341779004,872.7077,0.5514
2021-03-01,BR | Brand | Exact,317411,13331,0.041999,24662835002,1287.6759,0.8106
2021-03-08,BR | Brand | Exact,523344,21980,0.041999,40663801881,1799.937,0.7016
2021-03-15,BR | Brand | Exact,426197,17900,0.041999,33115534780,1552.5011,0.8232
2021-03-22,BR | Brand | Exact,418783,17589,0.042,32539421613,1695.6203,0.6663
2021-03-29,BR | Brand | Exact,273364,11481,0.041999,21240416576,1095.9629,0.6869
2021-04-05,BR | Brand | Exact,213191,8954,0.042,16564952799,855.3246,0.96
2021-04-12,BR | Brand | Exact,163752,6878,0.042003,12723504423,548.3076,0.7975
2021-04-19,BR | Brand | Exact,204328,8582,0.042001,15876252467,651.9408,0.8591
2021-04-26,BR | Brand | Exact,297240,12484,0.042,23095570913,1012.5568,0.581
2021-05-03,BR | Brand | Exact,200245,8410,0.041999,15559055399,548.8643,0.4821
2021-05-10,BR | Brand | Exact,199559,8381,0.041998,15505755193,757.5609,0.7478
2021-05-17,BR | Brand | Exact,191967,8063,0.042002,14915817530,648.1698,0.8202
2021-05-24,BR | Brand | Exact,210781,8853,0.042001,16377718086,731.6868,0.6238
2021-05-31,BR | Brand | Exact,383379,16102,0.042,29788568286,1508.5694,0.2702
2021-06-07,BR | Brand | Exact,447592,18799,0.042,34777908292,1261.7518,0.8725
2021-06-14,BR | Brand | Exact,444941,18688,0.042001,34571883135,1779.5113,0.7728
2021-06-21,BR | Brand | Exact,501040,21044,0.042001,38930828489,1541.6866,0.7371
2021-06-28,BR | Brand | Exact,397497,16695,0.042,30885542532,1385.0041,0.8648
2021-07-05,BR | Brand | Exact,434257,18239,0.042,33741775857,1765.0368,0.7703
2021-07-12,BR | Brand | Exact,244709,10278,0.042001,19013905963,853.573,0.6729
2021-07-19,BR | Brand | Exact,251585,10567,0.042002,19548159958,733.5931,0.8005
2021-07-26,BR | Brand | Exact,366176,15379,0.041999,28451872823,1426.6663,0.7302
2021-08-02,BR | Brand | Exact,357100,14998,0.041999,27746688258,1343.7212,0.717
2021-08-09,BR | Brand | Exact,209949,8818,0.042001,16313009728,772.0022,0.8773
2021-08-16,BR | Brand | Exact,229450,9637,0.042,17828257286,905.004,0.627
2021-08-23,BR | Brand | Exact,204943,8608,0.042002,15924056126,752.5675,0.8548
2021-08-30,BR | Brand | Exact,222738,9355,0.042,17306742545,699.4952,0.7285
2021-09-06,BR | Brand | Exact,277897,11672,0.042001,21592585878,796.6099,0.6669
2021-09-13,BR | Brand | Exact,221357,9297,0.042,17199418589,887.5685,0.8755
2021-09-20,BR | Brand | Exact,216973,9113,0.042001,16858793368,727.609,0.7593
2021-09-27,BR | Brand | Exact,250243,10510,0.041999,19443846199,853.5785,0.8613
2021-10-04,BR | Brand | Exact,260099,10924,0.041999,20209662739,963.0572,0.7149
2021-10-11,BR | Brand | Exact,220752,9272,0.042002,17152393313,762.2525,0.7665
2021-10-18,BR | Brand | Exact,238141,10002,0.042,18503570564,686.1806,0.5889
