air_week,daypart,grps,gross_cost
25/01/2021,Late,22.7,95372.58
22/02/2021,Prime,23.6,99283.99
08/03/2021,Daytime,37.7,158211.9
15/03/2021,Late,39.1,164312.8
22/03/2021,Daytime,16.3,68615.82
29/03/2021,Daytime,27.9,117242.55
12/04/2021,Late,87.0,365444.26
19/04/2021,Late,46.3,194634.73
26/04/2021,Late,16.2,68032.94
03/05/2021,Late,32.5,136569.19
10/05/2021,Daytime,22.4,94260.78
24/05/2021,Late,32.3,135570.05
21/06/2021,Daytime,17.9,75090.11
05/07/2021,Late,29.9,125445.45
19/07/2021,Late,15.6,65336.13
26/07/2021,Late,38.3,161022.23
02/08/2021,Daytime,15.3,64207.84
09/08/2021,Late,12.9,53976.9
30/08/2021,Daytime,12.5,52348.78
20/09/2021,Late,22.7,95171.03
25/10/2021,Daytime,17.4,73069.57
01/11/2021,Daytime,19.3,81104.08
08/11/2021,Late,21.5,90438.17
15/11/2021,Late,26.1,109782.64
22/11/2021,Daytime,36.3,152254.91
29/11/2021,Prime,37.0,155249.13
06/12/2021,Late,21.6,90711.83
10/01/2022,Prime,16.6,69512.44
17/01/2022,Prime,15.7,66059.16
24/01/2022,Prime,20.2,84938.55
14/02/2022,Late,52.2,219251.37
21/02/2022,Late,13.2,55590.44
28/02/2022,Daytime,18.0,75785.14
14/03/2022,Late,19.2,80648.45
21/03/2022,Late,21.4,89955.04
28/03/2022,Late,16.6,69747.77
04/04/2022,Late,21.9,92005.3
25/04/2022,Prime,27.1,113661.13
02/05/2022,Daytime,26.1,109763.63
16/05/2022,Daytime,14.9,62414.74
30/05/2022,Prime,22.2,93099.31
06/06/2022,Daytime,42.1,176705.88
11/07/2022,Late,22.5,94388.9
18/07/2022,Daytime,20.1,84525.13
25/07/2022,Late,75.0,315040.88
08/08/2022,Late,20.7,86810.79
22/08/2022,Daytime,13.4,56341.13
05/09/2022,Late,15.9,66594.68
12/09/2022,Late,13.8,57894.06
26/09/2022,Late,22.6,94889.02
21/11/2022,Daytime,17.6,73768.53
19/12/2022,Late,45.0,188873.99
26/12/2022,Prime,21.7,91073.82
02/01/2023,Prime,16.5,69431.58
09/01/2023,Daytime,14.8,62198.74
23/01/2023,Prime,18.0,75712.03
06/02/2023,Prime,23.6,99075.95
20/02/2023,Prime,30.9,129847.29
27/02/2023,Late,124.9,524676.82
06/03/2023,Prime,39.8,167222.13
13/03/2023,Prime,38.4,161.3542
20/03/2023,Prime,28.1,117.9143
27/03/2023,Prime,15.1,63.3949
10/04/2023,Late,55.0,231.0535
17/04/2023,Prime,16.2,68.0385
24/04/2023,Late,18.6,78.0311
01/05/2023,Late,20.2,84.795
08/05/2023,Daytime,19.1,80.1957
29/05/2023,Prime,45.2,189.7894
12/06/2023,Late,28.4,119.2753
19/06/2023,Late,37.1,155.7792
26/06/2023,Late,14.6,61.1581
10/07/2023,Late,19.0,79.7907
17/07/2023,Prime,66.2,278.1759
07/08/2023,Prime,26.8,112.5996
14/08/2023,Daytime,23.7,99677.28
04/09/2023,Daytime,25.6,107547.05
11/09/2023,Prime,18.5,77535.37
18/09/2023,Daytime,52.9,222011.4
25/09/2023,Prime,20.4,85820.33
09/10/2023,Late,14.4,60507.66
23/10/2023,Late,13.2,55590.82
30/10/2023,Daytime,16.8,70580.82
06/11/2023,Late,15.1,63346.34
13/11/2023,Late,12.8,53860.63
04/12/2023,Daytime,27.3,114780.51
11/12/2023,Daytime,17.9,75273.47
18/12/2023,Daytime,22.5,94682.06
25/12/2023,Prime,14.2,59659.11
01/01/2024,Prime,19.7,82633.71
22/01/2024,Daytime,42.4,178276.39
19/02/2024,Late,33.4,140116.5
11/03/2024,Prime,11.7,49093.5
18/03/2024,Daytime,29.5,123874.43
01/04/2024,Daytime,14.2,59463.1
22/04/2024,Prime,38.8,162784.58
13/05/2024,Daytime,14.5,60895.76
20/05/2024,Late,16.5,69203.37
03/06/2024,Daytime,20.7,86948.81
10/06/2024,Prime,12.5,52504.82
17/06/2024,Late,34.8,146276.56
08/07/2024,Late,21.4,89711.43
22/07/2024,Late,30.5,128099.67
29/07/2024,Late,20.8,87481.28
26/08/2024,Late,18.4,77285.79
02/09/2024,Prime,16.6,69574.9
09/09/2024,Late,28.3,119022.13
16/09/2024,Daytime,19.2,80444.01
04/11/2024,Daytime,19.1,80321.08
25/11/2024,Late,32.1,134728.96
02/12/2024,Daytime,32.5,136562.32
09/12/2024,Prime,19.0,79795.86
23/12/2024,Late,57.7,242418.52
