week,sin1,cos1,sin2,cos2,trend,holiday_count,holiday_retail_count,category_demand,linear_tv_spend,meta_social_spend,youtube_spend,ctv_spend,search_brand_spend,amazon_retail_spend,revenue,settled
2021-01-04,0.0,1.0,0.0,1.0,0.0,0,0,0.076703,0.0,60237.26,126972.21,30989.7,23788.67,23297.81,3165277.96,True
2021-01-11,0.120123,0.992759,0.238506,0.971141,0.0192,0,0,-0.762699,0.0,0.0,25133.67,24671.22,18408.25,11953.67,1922494.46,True
2021-01-18,0.238506,0.971141,0.463246,0.88623,0.0383,1,0,0.21306,0.0,81644.98,0.0,17338.42,14806.14,33299.28,3668991.41,True
2021-01-25,0.353435,0.935459,0.661249,0.750167,0.0575,0,0,-0.246811,95372.58,68797.55,60813.36,44197.53,27464.86,14670.97,3611281.56,True
2021-02-01,0.463246,0.88623,0.821085,0.570806,0.0767,0,0,0.724534,0.0,0.0,41397.82,0.0,18157.03,35183.53,3130142.23,True
2021-02-08,0.566348,0.824166,0.93353,0.358499,0.0958,0,0,-1.057839,0.0,26379.27,69102.44,0.0,18466.98,48303.45,2586109.0,True
2021-02-15,0.661249,0.750167,0.992094,0.1255,0.115,1,0,-0.335677,0.0,0.0,26036.58,41322.61,21709.41,0.0,2222785.43,True
2021-02-22,0.746573,0.665304,0.993395,-0.114742,0.1342,0,0,0.551959,99283.99,43994.99,0.0,97652.38,20341.78,15075.28,3764381.96,True
2021-03-01,0.821085,0.570806,0.93736,-0.348361,0.1533,0,0,0.884979,0.0,0.0,49011.38,35416.44,24662.84,14832.62,3144009.41,True
2021-03-08,0.883706,0.468042,0.827223,-0.561874,0.1725,0,0,1.968556,158211.9,33168.58,34212.71,25103.17,40663.8,0.0,3016790.74,True
2021-03-15,0.93353,0.358499,0.669339,-0.742957,0.1916,0,0,-0.150834,164312.8,83701.39,25581.55,42363.73,33115.53,16995.57,2169388.03,True
2021-03-22,0.969834,0.243765,0.472823,-0.881157,0.2108,0,0,-0.315543,68615.82,79438.92,29744.59,35238.84,32539.42,0.0,2953977.28,True
2021-03-29,0.992094,0.1255,0.249016,-0.968499,0.23,0,0,1.046784,117242.55,88465.17,0.0,47917.93,21240.42,0.0,2159350.14,True
2021-04-05,0.999985,0.005419,0.010837,-0.999941,0.2491,0,0,1.156572,0.0,80317.51,57846.56,25765.0,16564.95,28010.02,3006732.24,True
2021-04-12,0.993395,-0.114742,-0.227968,-0.973669,0.2683,0,0,0.117283,365444.26,269376.01,66768.85,44237.99,12723.5,0.0,2533736.2,True
2021-04-19,0.972419,-0.23324,-0.453615,-0.891198,0.2875,0,0,0.38001,194634.73,32684.8,0.0,51289.6,15876.25,21091.06,2636636.94,True
2021-04-26,0.93736,-0.348361,-0.65308,-0.757289,0.3066,0,0,0.211089,68032.94,94645.13,34215.87,0.0,23095.57,19359.34,2819154.13,True
2021-05-03,0.888727,-0.458437,-0.814851,-0.57967,0.3258,0,0,0.451508,136569.19,39063.48,121908.7,59062.59,15559.06,29296.28,4075560.33,True
2021-05-10,0.827223,-0.561874,-0.92959,-0.368595,0.345,0,0,0.064322,94260.78,35093.75,34625.06,0.0,15505.76,38818.65,2375876.09,True
2021-05-17,0.753739,-0.657174,-0.990675,-0.136244,0.3641,0,0,0.204885,0.0,43955.66,0.0,40562.43,14915.82,18286.03,2522035.2,True
2021-05-24,0.669339,-0.742957,-0.99458,0.10397,0.3833,0,0,0.184143,135570.05,173690.54,19151.9,0.0,16377.72,15427.59,1611135.03,True
2021-05-31,0.575247,-0.81798,-0.94108,0.338183,0.4025,1,1,-0.287203,0.0,27682.91,25298.24,0.0,29788.57,0.0,2025546.9,True
2021-06-07,0.472823,-0.881157,-0.833263,0.552877,0.4216,0,0,-0.453502,0.0,43339.91,39783.48,0.0,34777.91,24995.92,2176009.19,True
