Date,Unique Reach: Impression Reach,Unique Reach: Average Impression Frequency
2021/01/04,291220,3.3254
2021/01/11,278876,2.7646
2021/01/18,133975,4.0442
2021/01/25,394934,3.4972
2021/02/15,417010,3.0966
2021/02/22,681755,4.4761
2021/03/01,305360,3.6245
2021/03/08,268247,2.9244
2021/03/15,326982,4.0487
2021/03/22,387564,2.8414
2021/03/29,396316,3.7784
2021/04/05,267991,3.0044
2021/04/12,487741,2.8344
2021/04/19,490917,3.2649
2021/05/03,614090,3.0056
2021/05/17,346753,3.6556
2021/06/21,572904,3.012
2021/07/05,388778,4.2
2021/07/12,231501,3.4107
2021/07/19,733370,2.9675
2021/07/26,211797,4.0227
2021/08/02,314728,3.7045
2021/08/09,293144,3.9827
2021/08/23,285783,3.0997
2021/08/30,496548,2.6113
2021/09/06,789572,4.0861
2021/09/20,291590,3.4911
2021/09/27,194428,2.9065
2021/10/04,252701,2.6643
2021/10/11,299446,4.0596
2021/10/25,236742,2.5232
2021/11/15,258708,3.8047
2021/11/22,260702,3.5772
2021/12/06,328804,2.8003
2021/12/27,274990,4.2411
2022/01/03,221613,3.8239
2022/01/10,944885,3.0801
2022/01/17,243039,2.5392
2022/01/24,462851,3.859
2022/01/31,111467,4.2607
2022/02/07,359263,2.6306
2022/02/14,145869,4.1886
2022/02/21,234353,4.2206
2022/02/28,305027,3.1233
2022/03/14,225030,2.9014
2022/03/21,201933,4.4446
2022/03/28,435961,3.6264
2022/04/11,326959,2.9869
2022/04/18,248287,2.8631
2022/04/25,429642,3.3568
2022/05/02,1993600,2.6063
2022/05/16,214555,3.9367
2022/05/30,545021,3.0011
2022/06/06,637167,3.8104
2022/06/13,289635,3.7967
2022/07/11,1499771,3.1728
2022/07/25,417850,2.9988
2022/08/01,182466,3.5185
2022/08/08,212781,3.9356
2022/08/22,336147,2.6041
2022/08/29,298368,3.4179
2022/09/12,347728,4.4135
2022/09/26,238797,2.8468
2022/10/10,243208,3.1576
2022/10/17,221517,4.216
2022/10/31,337623,2.8927
2022/11/07,140440,4.3792
2022/11/14,160078,3.9799
2022/11/21,144948,4.1688
2022/12/26,483244,3.0234
2023/01/02,176697,3.2266
2023/01/09,120754,4.418
2023/01/16,216330,2.8952
2023/01/23,515869,2.7628
2023/02/06,437041,3.5449
2023/02/13,205826,3.8452
2023/02/27,739674,2.9734
2023/03/06,154267,4.1798
2023/03/13,653531,3.8226
2023/03/20,1026865,4.4799
2023/03/27,263708,3.8227
2023/04/03,752158,3.2605
2023/04/10,384189,2.5461
2023/04/17,277485,4.3338
2023/04/24,334210,3.0458
2023/05/01,443175,3.173
2023/05/08,171453,4.1121
2023/05/15,470360,4.4031
2023/05/29,290429,3.6318
2023/06/05,645164,4.159
2023/06/12,320216,3.6918
2023/07/03,609414,3.8594
2023/07/10,626902,3.0179
2023/07/17,170424,4.0955
2023/07/24,856525,2.572
2023/07/31,403720,4.1543
2023/08/07,555363,3.3323
2023/08/21,609496,3.3336
2023/08/28,204353,3.669
2023/09/04,197627,3.0617
2023/09/18,509243,3.0647
2023/09/25,204735,2.8556
2023/10/09,646430,2.8909
2023/11/06,490970,4.2681
2023/12/04,122724,4.219
2023/12/11,237906,4.0756
2023/12/18,589006,4.1289
2023/12/25,466487,2.9256
2024/01/01,200422,4.3324
2024/01/22,736669,4.4351
2024/01/29,402450,3.8997
2024/02/12,264914,3.1616
2024/02/19,803287,2.8465
2024/03/04,430447,4.3198
2024/03/11,321473,2.9389
2024/03/18,773426,3.4606
2024/03/25,156162,4.2201
2024/04/01,396934,2.9352
2024/04/15,167678,3.866
2024/04/22,641448,3.7307
2024/05/06,415377,2.8093
2024/05/13,303778,4.3628
2024/05/20,944611,3.7065
2024/06/03,529213,2.7615
2024/06/10,338299,3.3181
2024/06/17,324180,3.3902
2024/06/24,420475,3.1066
2024/07/01,245365,2.6286
2024/07/22,348972,4.2994
2024/07/29,164896,3.4185
2024/08/12,266810,2.7208
2024/08/19,269890,4.0029
2024/08/26,312755,4.2631
2024/09/02,302263,3.6997
2024/09/09,334511,2.8079
2024/09/16,634066,2.9189
2024/09/30,282902,2.6389
2024/10/07,534017,2.692
2024/10/14,199319,3.1063
2024/11/04,185667,3.7137
2024/11/11,163406,3.4315
2024/11/25,194446,4.4583
2024/12/02,410563,4.4592
2024/12/09,889642,2.8829
2024/12/23,649765,3.2037
