Date,Insertion Order,Device Type,App/URL,Impressions,Clicks,Revenue (Advertiser Currency),Starts (Video),Complete Views (Video),Completion Rate (Video)
2021/01/04,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],968428,2436,30989.7,958605,932401,0.9727
2021/01/11,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],770976,1858,24671.22,755419,725590,0.9605
2021/01/18,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],541826,736,17338.42,534756,503076,0.9408
2021/01/25,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1381173,2070,44197.53,1365057,1327107,0.9722
2021/02/15,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1291332,1571,41322.61,1269356,1225592,0.9655
2021/02/22,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],3051637,3804,97652.38,3027065,2876741,0.9503
2021/03/01,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1106764,2807,35416.44,1085888,1052356,0.9691
2021/03/08,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],784474,856,25103.17,773669,727005,0.9397
2021/03/15,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1323867,2612,42363.73,1314589,1256689,0.956
2021/03/22,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1101214,2792,35238.84,1072891,1030311,0.9603
2021/03/29,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1497435,4165,47917.93,1463461,1362723,0.9312
2021/04/05,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],805156,1663,25765.0,791588,767363,0.9694
2021/04/12,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1382437,3662,44237.99,1371959,1317400,0.9602
2021/04/19,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1602800,3754,51289.6,1564246,1458959,0.9327
2021/05/03,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1845706,2082,59062.59,1796202,1684061,0.9376
2021/05/17,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1267576,1582,40562.43,1233422,1202219,0.9747
2021/06/21,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1725614,2269,55219.66,1711596,1627204,0.9507
2021/07/05,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1632849,4034,52251.15,1611564,1525964,0.9469
2021/07/12,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],789580,1110,25266.55,775475,725631,0.9357
2021/07/19,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2176276,5539,69640.83,2155373,2018159,0.9363
2021/07/26,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],851993,2044,27263.79,844140,801565,0.9496
2021/08/02,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1165920,2580,37309.44,1131209,1093685,0.9668
2021/08/09,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1167496,1980,37359.87,1135517,1056533,0.9304
2021/08/23,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],885846,2351,28347.08,880472,819667,0.9309
2021/08/30,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1296611,2264,41491.57,1272249,1225361,0.9631
2021/09/06,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],3226297,7900,103241.52,3146388,3054321,0.9707
