segments.week,campaign.name,metrics.impressions,metrics.video_views,metrics.video_view_rate,metrics.video_quartile_p25_rate,metrics.video_quartile_p50_rate,metrics.video_quartile_p75_rate,metrics.video_quartile_p100_rate,metrics.cost_micros
2021-01-04,US | YouTube | Video,10581018,3295322,0.311437,0.6965,0.4882,0.4307,0.3318,126972213401
2021-01-11,US | YouTube | Video,2094472,604115,0.288433,0.6997,0.4529,0.4316,0.3147,25133666460
2021-01-18,US | YouTube | Video,0,0,0.0,0.6569,0.4772,0.4374,0.3284,0
2021-01-25,US | YouTube | Video,5067780,1510885,0.298135,0.6011,0.5024,0.3841,0.3293,60813364754
2021-02-01,US | YouTube | Video,3449819,1144925,0.33188,0.6606,0.5192,0.3649,0.3031,41397822682
2021-02-08,US | YouTube | Video,5758537,2011418,0.349293,0.6454,0.4743,0.4342,0.3228,69102440850
2021-02-15,US | YouTube | Video,2169715,742174,0.342061,0.6513,0.5008,0.4439,0.2537,26036582545
2021-02-22,US | YouTube | Video,0,0,0.0,0.6298,0.4825,0.4253,0.2909,0
2021-03-01,US | YouTube | Video,4084282,1461105,0.357739,0.6586,0.5324,0.4046,0.3283,49011379437
2021-03-08,US | YouTube | Video,2851059,823900,0.28898,0.6999,0.527,0.421,0.2791,34212707578
2021-03-15,US | YouTube | Video,2131796,643416,0.301819,0.6517,0.5423,0.355,0.2627,25581549247
2021-03-22,US | YouTube | Video,2478716,788614,0.318154,0.6163,0.5329,0.3854,0.297,29744587016
2021-03-29,US | YouTube | Video,0,0,0.0,0.6777,0.4823,0.4305,0.3409,0
2021-04-05,US | YouTube | Video,4820547,1622458,0.336571,0.6977,0.4731,0.3719,0.3125,57846563884
2021-04-12,US | YouTube | Video,5564070,1589317,0.285639,0.6375,0.5061,0.4248,0.2917,66768845142
2021-04-19,US | YouTube | Video,0,0,0.0,0.6551,0.5041,0.3502,0.2657,0
2021-04-26,US | YouTube | Video,2851322,900997,0.315993,0.654,0.4981,0.4458,0.2845,34215869936
2021-05-03,US | YouTube | Video,10159058,3299687,0.324802,0.6221,0.4553,0.4293,0.2512,121908697346
2021-05-10,US | YouTube | Video,2885422,1029042,0.356635,0.632,0.5129,0.4495,0.3007,34625063873
2021-05-17,US | YouTube | Video,0,0,0.0,0.6914,0.4954,0.4001,0.3325,0
2021-05-24,US | YouTube | Video,1595992,449824,0.281846,0.6358,0.4885,0.4049,0.2995,19151898418
2021-05-31,US | YouTube | Video,2108187,642512,0.30477,0.69,0.5155,0.4375,0.2703,25298241291
2021-06-07,US | YouTube | Video,3315290,1156494,0.348836,0.6294,0.4863,0.3666,0.2922,39783479762
2021-06-14,US | YouTube | Video,1708663,531610,0.311126,0.6838,0.4932,0.3654,0.2542,20503953360
2021-06-21,US | YouTube | Video,0,0,0.0,0.6528,0.4822,0.4021,0.2912,0
2021-06-28,US | YouTube | Video,1048738,324022,0.308964,0.606,0.5135,0.4188,0.2848,12584853691
