month,invoiced
2021-01,96662.64
2021-02,103131.64
2021-03,521479.33
2021-04,634653.23
2021-05,370448.17
2021-06,78044.27
2021-07,359067.24
2021-08,173428.69
2021-09,96714.32
2021-10,74259.11
2021-11,605569.02
2021-12,91921.27
2022-01,225765.7
2022-02,356169.4
2022-03,248946.86
2022-04,208029.37
2022-05,273739.56
2022-06,183324.01
2022-07,513451.89
2022-08,148804.46
2022-09,227205.03
2022-10,0.0
2022-11,76236.38
2022-12,289595.2
2023-01,214776.83
2023-02,765895.99
2023-03,530140.45
2023-04,388365.3
2023-05,366591.61
2023-06,345094.02
2023-07,369183.38
2023-08,215653.17
2023-09,499943.2
2023-10,190449.66
2023-11,118395.82
2023-12,349924.79
2024-01,269758.96
2024-02,145084.96
2024-03,178147.21
2024-04,225479.75
2024-05,134885.19
2024-06,295631.98
2024-07,316309.58
2024-08,79406.91
2024-09,274237.25
2024-10,0.0
2024-11,221000.9
2024-12,466252.21
